method,band,tau,n,precision,recall,f1,iou,mcc,count_mae,ms_per_tile
U-Net (semantic),1-5%,0.4,48,0.026775592323938745,0.8331553980430695,0.051883766266005535,0.026632787833455174,-0.03747775919401268,13.020833333333334,13.029064265235016
U-Net (semantic),5-10%,0.4,36,0.07104386469676073,0.8137336981867788,0.13067869058394366,0.06990702458893339,-0.04190247000153161,28.666666666666668,13.088273072046123
U-Net (semantic),10-20%,0.4,64,0.15219480385323933,0.9206522969479968,0.26120869509883626,0.15022429353230052,-0.015842920202506116,26.625,13.222412144386908
U-Net (semantic),20-40%,0.4,90,0.2897669961801996,0.9713959897921978,0.44637925624396324,0.28731545873958386,-0.012112727270410737,41.888888888888886,13.043201844104463
U-Net (semantic),40-70%,0.4,90,0.5598209303935716,0.9990726924897477,0.7175625015992547,0.5595301940343617,-0.0008489301716241598,22.033333333333335,13.135073116670053
U-Net (semantic),>70%,0.4,90,0.9481438991276483,0.9964670893668524,0.9717050829896464,0.9449673122829859,-0.013535249172641645,2.2777777777777777,13.039854117151764
Mask R-CNN (instance),1-5%,0.05,48,0.06110048385281861,0.3944440164214051,0.10581060769599362,0.05586062743838847,0.0920959083208209,175.08333333333334,922.9995051039926
Mask R-CNN (instance),5-10%,0.05,36,0.14638480528434458,0.36982991610992594,0.20974791267858608,0.11716110519738952,0.1303629659406495,169.58333333333334,923.7890393576689
Mask R-CNN (instance),10-20%,0.05,64,0.19861817926396538,0.5436805438185444,0.2909471246847485,0.17023880849196116,0.10601490457204776,172.15625,923.6823847204505
Mask R-CNN (instance),20-40%,0.05,90,0.2938815375210849,0.3729644914327377,0.3287336904160995,0.19669737199924686,0.005426193402785048,132.67777777777778,922.8839815102725
Mask R-CNN (instance),40-70%,0.05,90,0.517442679098087,0.12353389563338703,0.19945100128820353,0.11077232653848187,-0.03354137458809487,71.97777777777777,920.4879582523264
Mask R-CNN (instance),>70%,0.05,90,0.9999999999999969,0.05763358812744651,0.1089859261655911,0.05763358812744651,0.05613243036932646,31.31111111111111,921.2032860481283
YOLOv8 (detection),1-5%,0.1,48,0.030316684232517772,0.21401763210319277,0.053110058737666804,0.027279435696569022,0.004333296963511834,10.75,9.57722392437669
YOLOv8 (detection),5-10%,0.1,36,0.11769874909541998,0.2942670435070866,0.16814436275362102,0.09178909067965028,0.07715724336618003,28.583333333333332,9.759777768825492
YOLOv8 (detection),10-20%,0.1,64,0.19036001438856534,0.501363732922326,0.27594717586623624,0.16005726301783224,0.08370292466710277,50.515625,9.672178402979625
YOLOv8 (detection),20-40%,0.1,90,0.32675251905858477,0.7256125410134885,0.45059596599515006,0.29081889336712263,0.10725435921469202,73.0,11.88186894998782
YOLOv8 (detection),40-70%,0.1,90,0.5640971126248047,0.9401117432805787,0.7051072960975173,0.5445295156089058,0.0320518964241176,46.22222222222222,10.477811017901534
YOLOv8 (detection),>70%,0.1,90,0.9483040880132486,0.9996712199456322,0.9733103907259486,0.948008417449049,-0.0034496496959804126,4.111111111111111,9.48797957971692
Classical (thr+morph),1-5%,0.5,48,0.04496199011591813,0.03274376217572633,0.03789229623133417,0.01931203707911107,0.014073098766612873,11.083333333333334,0.8300364570459351
Classical (thr+morph),5-10%,0.5,36,0.10030754495319406,0.07532126020531393,0.08603703298144584,0.044952297915863096,0.023079361708078346,18.47222222222222,0.9265325239135159
Classical (thr+morph),10-20%,0.5,64,0.20610996594909353,0.13318220371177222,0.16180850515113132,0.08802592446077809,0.0482011503239528,15.875,1.0007109594880603
Classical (thr+morph),20-40%,0.5,90,0.3464949038372836,0.205952023332118,0.2583463600965995,0.1483339481022964,0.05619630936846941,20.22222222222222,1.109664338744349
Classical (thr+morph),40-70%,0.5,90,0.58564563780686,0.22422004867910156,0.3242846201458161,0.19352010760439592,0.027159105460125014,31.211111111111112,1.3222101817114484
Classical (thr+morph),>70%,0.5,90,0.9499362073619977,0.2434620772141477,0.3875880249880328,0.2403777889258123,0.004142812898659668,50.144444444444446,1.3418403221294284
