epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.743,4.05625,2.86879,1.2581,0.06732,0.09032,0.01752,0.00367,3.73828,2.93923,1.17207,0.000664783,0.000664783,0.000664783
2,742.626,3.74686,2.60006,1.05931,0.07407,0.11306,0.0247,0.00582,3.54921,2.97839,1.09034,0.0012985,0.0012985,0.0012985
3,1026.92,3.63242,2.54798,1.03151,0.1093,0.10404,0.03502,0.00933,3.53622,2.87408,1.0418,0.00189921,0.00189921,0.00189921
4,1335.97,3.56154,2.5187,1.00951,0.10769,0.11827,0.03871,0.0111,3.44192,2.92505,1.0231,0.0018515,0.0018515,0.0018515
5,1609.11,3.50372,2.47614,0.99082,0.10411,0.11509,0.03675,0.00974,3.3575,2.85038,1.034,0.001802,0.001802,0.001802
6,1849.64,3.40632,2.45522,0.98781,0.13018,0.13807,0.04847,0.01386,3.20624,2.89396,1.0171,0.0017525,0.0017525,0.0017525
7,2102.3,3.38861,2.448,0.98646,0.12818,0.13461,0.05053,0.01469,3.19618,2.77357,1.00804,0.001703,0.001703,0.001703
8,307.149,3.34873,2.4177,0.97751,0.12087,0.11927,0.04411,0.01219,3.23958,2.79635,1.02198,0.0016535,0.0016535,0.0016535
9,585.811,3.30521,2.40406,0.97304,0.13496,0.14841,0.05598,0.01689,3.14774,2.83736,1.01347,0.001604,0.001604,0.001604
10,829.855,3.26441,2.38092,0.97459,0.16077,0.15743,0.06817,0.02321,3.10292,2.77889,1.00216,0.0015545,0.0015545,0.0015545
11,751.435,3.22664,2.36401,0.96442,0.10394,0.08273,0.02338,0.00699,3.1219,2.87744,0.9974,0.001505,0.001505,0.001505
12,1803.14,3.18953,2.35367,0.95933,0.15852,0.15079,0.06122,0.01928,3.07126,2.82525,1.00415,0.0014555,0.0014555,0.0014555
