epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.405,4.05226,2.86521,1.27957,0.05021,0.0832,0.01607,0.00393,3.84951,3.60555,1.12172,0.00066457,0.00066457,0.00066457
2,877.539,3.74429,2.55665,1.04691,0.09295,0.10202,0.02731,0.0069,3.60452,3.10471,1.09628,0.00129829,0.00129829,0.00129829
3,1184.4,3.64945,2.5209,1.01418,0.09166,0.06546,0.01971,0.00664,3.45432,3.19405,1.03257,0.00189901,0.00189901,0.00189901
4,1438.59,3.55126,2.48206,1.00139,0.09662,0.12186,0.03809,0.01178,3.36478,3.19212,1.04206,0.0018515,0.0018515,0.0018515
5,1649.93,3.4913,2.46516,0.99267,0.10523,0.12426,0.04046,0.01144,3.47248,3.58696,1.04137,0.001802,0.001802,0.001802
6,1861.08,3.44507,2.43707,0.9848,0.12218,0.13583,0.04497,0.01309,3.32015,3.34956,1.02772,0.0017525,0.0017525,0.0017525
7,2155.52,3.39741,2.40247,0.97601,0.16729,0.12132,0.05636,0.01687,3.24729,2.82948,1.04678,0.001703,0.001703,0.001703
8,2362.05,3.36122,2.41087,0.97599,0.16671,0.13108,0.06093,0.01872,3.18539,2.88782,1.0164,0.0016535,0.0016535,0.0016535
9,2593.42,3.32907,2.37984,0.96977,0.13421,0.14308,0.05209,0.01558,3.25473,2.95362,1.05238,0.001604,0.001604,0.001604
10,2801.99,3.29566,2.36648,0.96291,0.1189,0.14642,0.04993,0.01398,3.09033,3.14291,1.00694,0.0015545,0.0015545,0.0015545
11,3027.29,3.27293,2.35762,0.95604,0.12932,0.13388,0.05319,0.01592,3.09649,2.80229,0.9996,0.001505,0.001505,0.001505
12,3235.08,3.23912,2.33305,0.95136,0.09994,0.14279,0.04096,0.01153,3.12344,3.34046,1.00998,0.0014555,0.0014555,0.0014555
13,3446.3,3.21377,2.32574,0.95602,0.1808,0.17131,0.08392,0.02643,2.99202,2.77531,0.99747,0.001406,0.001406,0.001406
14,3693.49,3.18836,2.31596,0.95218,0.15503,0.15999,0.06711,0.02049,3.03551,2.84831,0.99727,0.0013565,0.0013565,0.0013565
15,3998.44,3.1829,2.29463,0.95142,0.13148,0.14847,0.05373,0.01593,3.13273,2.94822,1.0045,0.001307,0.001307,0.001307
16,4731.49,3.1641,2.29101,0.94865,0.16596,0.17086,0.07614,0.02404,2.96963,2.85045,0.98815,0.0012575,0.0012575,0.0012575
17,6417.31,3.14785,2.29354,0.9445,0.15205,0.17385,0.06882,0.02188,2.92471,2.80911,0.99797,0.001208,0.001208,0.001208
18,6832.62,3.12271,2.274,0.9457,0.14268,0.16572,0.06067,0.01852,3.05929,2.87159,0.99468,0.0011585,0.0011585,0.0011585
19,7305.62,3.11342,2.27881,0.94613,0.14272,0.15347,0.05723,0.01647,3.09677,2.84991,0.99935,0.001109,0.001109,0.001109
20,7845.17,3.08616,2.25498,0.94078,0.13975,0.17194,0.06155,0.0192,2.95968,2.88757,0.99012,0.0010595,0.0010595,0.0010595
21,8278.18,3.09976,2.25465,0.93745,0.163,0.18424,0.07657,0.02483,2.87423,2.93492,0.97972,0.00101,0.00101,0.00101
22,8594.14,3.06596,2.24525,0.94024,0.17636,0.17378,0.08107,0.02567,2.89428,2.80329,0.98754,0.0009605,0.0009605,0.0009605
23,8889.08,3.05319,2.22942,0.93759,0.16747,0.1813,0.0782,0.02433,2.8996,2.94561,0.97862,0.000911,0.000911,0.000911
24,9144.69,3.04221,2.23472,0.93497,0.1678,0.17101,0.07137,0.02322,2.93743,2.83652,0.99054,0.0008615,0.0008615,0.0008615
25,9503.74,3.04592,2.23423,0.9338,0.16527,0.18341,0.07777,0.02466,2.87884,2.85822,0.97891,0.000812,0.000812,0.000812
26,9875.21,3.02447,2.22763,0.93669,0.16317,0.17988,0.07764,0.02437,2.86122,2.77704,0.97806,0.0007625,0.0007625,0.0007625
27,10112.7,3.00626,2.22999,0.93403,0.18715,0.18836,0.08988,0.03078,2.83723,2.79837,0.97832,0.000713,0.000713,0.000713
28,10349.6,2.99008,2.20098,0.93257,0.16867,0.17552,0.07732,0.02429,2.90814,2.89915,0.98559,0.0006635,0.0006635,0.0006635
29,10730.3,2.98056,2.21166,0.93271,0.18224,0.18924,0.08936,0.0292,2.7956,2.77373,0.96773,0.000614,0.000614,0.000614
30,11029.1,2.99227,2.20886,0.92899,0.18904,0.18713,0.0903,0.02958,2.81397,2.74334,0.96851,0.0005645,0.0005645,0.0005645
31,11396.4,2.84794,2.23955,0.94491,0.18678,0.17728,0.08808,0.02885,2.86352,2.73321,0.97817,0.000515,0.000515,0.000515
32,11765.2,2.83766,2.21208,0.93714,0.18594,0.19669,0.09229,0.03112,2.80889,2.7804,0.97463,0.0004655,0.0004655,0.0004655
33,12184.9,2.82466,2.20683,0.9415,0.1999,0.19571,0.09926,0.0335,2.77408,2.73929,0.96895,0.000416,0.000416,0.000416
34,12548.7,2.83424,2.20329,0.93399,0.19425,0.19576,0.09738,0.03282,2.7442,2.70215,0.96253,0.0003665,0.0003665,0.0003665
35,12940.8,2.81284,2.19122,0.93701,0.19971,0.19649,0.09883,0.03308,2.75165,2.64133,0.9671,0.000317,0.000317,0.000317
36,375.888,2.79791,2.1736,0.93777,0.20212,0.1934,0.1003,0.03282,2.74407,2.67827,0.96749,0.0002675,0.0002675,0.0002675
37,668.881,2.78683,2.17409,0.93484,0.2109,0.20134,0.10556,0.03577,2.71769,2.65059,0.96455,0.000218,0.000218,0.000218
38,943.641,2.78243,2.1673,0.93529,0.20657,0.201,0.10572,0.03645,2.72717,2.63457,0.9649,0.0001685,0.0001685,0.0001685
39,1233.9,2.76583,2.16535,0.93542,0.20383,0.2011,0.10515,0.0355,2.72628,2.64642,0.96347,0.000119,0.000119,0.000119
40,1498.85,2.75436,2.15512,0.93214,0.20075,0.19953,0.1028,0.03456,2.73776,2.66514,0.96485,6.95e-05,6.95e-05,6.95e-05
