epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.491,3.30425,3.00604,2.00977,0.05388,0.04088,0.00622,0.00186,3.35437,3.1554,2.04584,0.000662132,0.000662132,0.000662132
2,723.854,3.18862,2.61756,1.8087,0.03571,0.03978,0.00503,0.00121,3.42082,3.83547,1.97936,0.00129591,0.00129591,0.00129591
3,991.331,3.17284,2.59951,1.79751,0.09929,0.08697,0.02903,0.00786,3.27574,3.0126,1.90341,0.00189669,0.00189669,0.00189669
4,1246.3,3.09302,2.56323,1.76816,0.08771,0.07929,0.02669,0.00944,3.12808,2.69157,1.87449,0.0018515,0.0018515,0.0018515
5,1449.38,3.02824,2.53471,1.73153,0.1135,0.10206,0.03562,0.01005,3.09512,2.68194,1.77851,0.001802,0.001802,0.001802
6,1659.58,2.99821,2.49293,1.73522,0.1352,0.11303,0.04773,0.01393,3.00052,2.58135,1.74875,0.0017525,0.0017525,0.0017525
7,1925.31,2.93137,2.45893,1.6968,0.10692,0.09575,0.03998,0.01223,2.94229,2.66077,1.74513,0.001703,0.001703,0.001703
8,2217.8,2.90789,2.43631,1.68239,0.13131,0.08792,0.03631,0.01132,3.00075,2.58304,1.74774,0.0016535,0.0016535,0.0016535
9,2471.94,2.91042,2.45245,1.67867,0.1563,0.08285,0.04633,0.01452,2.94636,2.64231,1.76256,0.001604,0.001604,0.001604
10,2668.36,2.88737,2.42966,1.66196,0.1467,0.11331,0.05061,0.01691,2.99576,2.57724,1.79629,0.0015545,0.0015545,0.0015545
11,2922.91,2.84967,2.41012,1.63235,0.1431,0.10877,0.04741,0.01481,2.97564,2.53691,1.70599,0.001505,0.001505,0.001505
12,3211.82,2.82896,2.38934,1.64056,0.16651,0.11084,0.05853,0.01997,2.86361,2.43753,1.61524,0.0014555,0.0014555,0.0014555
13,3462.87,2.79062,2.37297,1.61879,0.18038,0.13224,0.07095,0.02265,2.82774,2.42898,1.69724,0.001406,0.001406,0.001406
14,3672.29,2.79732,2.35668,1.62325,0.16903,0.14376,0.07162,0.02266,2.77429,2.44906,1.599,0.0013565,0.0013565,0.0013565
15,3875.41,2.77263,2.36288,1.60622,0.1867,0.13855,0.07691,0.02803,2.73623,2.39978,1.59583,0.001307,0.001307,0.001307
16,4059.78,2.77203,2.33617,1.60326,0.21824,0.1572,0.09969,0.03513,2.71415,2.3846,1.61562,0.0012575,0.0012575,0.0012575
17,4254.17,2.71837,2.3196,1.58365,0.18273,0.1476,0.07685,0.02658,2.73273,2.43327,1.5951,0.001208,0.001208,0.001208
18,4482.29,2.74754,2.32195,1.59087,0.20303,0.16049,0.09313,0.03161,2.70681,2.39717,1.60055,0.0011585,0.0011585,0.0011585
19,4788.4,2.73087,2.32778,1.5841,0.21508,0.15912,0.0946,0.033,2.68737,2.31205,1.6115,0.001109,0.001109,0.001109
20,5090.01,2.71858,2.29832,1.57038,0.22737,0.15556,0.09656,0.03249,2.69561,2.34059,1.58265,0.0010595,0.0010595,0.0010595
21,5364.1,2.70158,2.29939,1.55604,0.2236,0.15171,0.0937,0.03334,2.67783,2.3385,1.59825,0.00101,0.00101,0.00101
22,5665.34,2.67822,2.27736,1.54508,0.22681,0.1668,0.09865,0.03501,2.67403,2.2934,1.56161,0.0009605,0.0009605,0.0009605
23,5947.12,2.66549,2.25911,1.55128,0.22903,0.16433,0.10782,0.03885,2.63429,2.30172,1.56948,0.000911,0.000911,0.000911
24,6196.84,2.65224,2.25789,1.54051,0.23029,0.16269,0.10317,0.03767,2.66085,2.27221,1.57247,0.0008615,0.0008615,0.0008615
25,6403.47,2.63257,2.26337,1.54704,0.22697,0.1545,0.10209,0.0399,2.62458,2.28074,1.5483,0.000812,0.000812,0.000812
26,6592.23,2.63884,2.24962,1.54131,0.23936,0.17558,0.11384,0.04344,2.56445,2.28217,1.56429,0.0007625,0.0007625,0.0007625
27,6776.37,2.60389,2.24969,1.53121,0.23104,0.15638,0.1033,0.03834,2.60676,2.31417,1.52043,0.000713,0.000713,0.000713
28,6960.51,2.59396,2.20935,1.53034,0.23297,0.1668,0.10853,0.04115,2.61734,2.27546,1.57244,0.0006635,0.0006635,0.0006635
29,7156.77,2.59555,2.21336,1.52435,0.25207,0.18025,0.11374,0.04355,2.56271,2.26201,1.53461,0.000614,0.000614,0.000614
30,7358.2,2.60489,2.21295,1.51973,0.23751,0.17092,0.11552,0.04567,2.57922,2.22937,1.55005,0.0005645,0.0005645,0.0005645
31,7643.69,2.61191,2.33338,1.5809,0.2521,0.17202,0.12224,0.04716,2.52362,2.22166,1.52773,0.000515,0.000515,0.000515
32,7881.74,2.57831,2.27184,1.57128,0.25737,0.1701,0.11791,0.04716,2.53876,2.23849,1.51342,0.0004655,0.0004655,0.0004655
33,8090.87,2.53441,2.23027,1.56424,0.27407,0.1679,0.12172,0.04749,2.53928,2.23135,1.5262,0.000416,0.000416,0.000416
34,8281.16,2.56739,2.22992,1.55219,0.26653,0.17888,0.13077,0.05287,2.49243,2.17468,1.51901,0.0003665,0.0003665,0.0003665
35,8448.13,2.52405,2.22343,1.54921,0.28451,0.18765,0.13336,0.05284,2.46964,2.17543,1.5128,0.000317,0.000317,0.000317
36,8612.75,2.50018,2.19412,1.53408,0.26915,0.17723,0.13147,0.05344,2.48557,2.17216,1.51232,0.0002675,0.0002675,0.0002675
37,8779.94,2.52865,2.19056,1.52947,0.29331,0.1915,0.14454,0.05769,2.46791,2.14415,1.48614,0.000218,0.000218,0.000218
38,8941.52,2.48417,2.18271,1.52062,0.28848,0.18519,0.13903,0.05571,2.48786,2.15916,1.49354,0.0001685,0.0001685,0.0001685
39,9094.33,2.4717,2.174,1.51485,0.29718,0.19095,0.14582,0.05972,2.45733,2.12276,1.49035,0.000119,0.000119,0.000119
40,9288.53,2.48196,2.17674,1.51711,0.29907,0.18244,0.14092,0.05717,2.47468,2.14336,1.48575,6.95e-05,6.95e-05,6.95e-05
