epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.801,3.30139,3.00823,2.01585,0.04625,0.05322,0.01113,0.00314,3.29354,4.11707,2.08904,0.000662132,0.000662132,0.000662132
2,266.921,3.18168,2.65026,1.8459,0.09664,0.03731,0.01709,0.00556,3.3948,2.91659,1.93371,0.00132003,0.00132003,0.00132003
3,425.105,3.17465,2.60827,1.83183,0.07349,0.06804,0.01539,0.00363,3.46492,2.99075,2.03783,0.00196912,0.00196912,0.00196912
4,559.232,3.13577,2.5703,1.79938,0.08815,0.05377,0.0194,0.00578,3.40865,3.19356,1.88804,0.0019604,0.0019604,0.0019604
5,717.951,3.05192,2.52834,1.76111,0.08571,0.0941,0.03098,0.0105,3.03863,2.74918,1.94015,0.0019472,0.0019472,0.0019472
6,847.956,3.01465,2.52459,1.74654,0.13328,0.09355,0.03935,0.01184,3.06106,2.67221,1.79449,0.001934,0.001934,0.001934
7,1025.01,2.96202,2.49387,1.72088,0.10709,0.07106,0.02971,0.00964,3.08029,2.62701,1.84312,0.0019208,0.0019208,0.0019208
8,1203.65,2.9382,2.45519,1.69453,0.14365,0.09684,0.05083,0.01719,2.96013,2.55586,1.75611,0.0019076,0.0019076,0.0019076
9,1387.06,2.92302,2.47264,1.69547,0.11398,0.09959,0.03603,0.01044,3.11522,2.66289,1.86331,0.0018944,0.0018944,0.0018944
10,1537.43,2.87449,2.4388,1.68347,0.14783,0.08395,0.04023,0.01129,3.0617,2.6007,1.79221,0.0018812,0.0018812,0.0018812
11,1682.66,2.88244,2.42548,1.6703,0.16759,0.11523,0.06256,0.02119,2.85997,2.61653,1.74074,0.001868,0.001868,0.001868
12,1840.46,2.86336,2.4301,1.66124,0.17602,0.13361,0.06889,0.02228,2.88702,2.5022,1.67837,0.0018548,0.0018548,0.0018548
13,2056.78,2.83381,2.39913,1.65403,0.17232,0.13443,0.06935,0.02078,2.8544,2.47488,1.70157,0.0018416,0.0018416,0.0018416
14,2245.74,2.82329,2.37523,1.63431,0.16803,0.13287,0.06086,0.01923,2.83364,2.47997,1.66567,0.0018284,0.0018284,0.0018284
15,2400.03,2.80182,2.37675,1.63509,0.16537,0.12428,0.06727,0.021,2.88727,2.62736,1.66362,0.0018152,0.0018152,0.0018152
16,2564.02,2.80133,2.36568,1.63061,0.19148,0.11276,0.06774,0.02269,2.8509,2.47946,1.6103,0.001802,0.001802,0.001802
17,2711.66,2.78468,2.37523,1.61645,0.18965,0.11276,0.06342,0.02256,2.8431,2.47003,1.66725,0.0017888,0.0017888,0.0017888
18,2861.05,2.76538,2.35624,1.61519,0.19054,0.14321,0.07553,0.02358,2.78411,2.51499,1.6195,0.0017756,0.0017756,0.0017756
19,3009.77,2.78636,2.35173,1.61866,0.18158,0.13333,0.07292,0.02542,2.77498,2.41381,1.61429,0.0017624,0.0017624,0.0017624
20,3138.74,2.78844,2.35331,1.60614,0.2014,0.13955,0.08315,0.02993,2.75083,2.40409,1.59051,0.0017492,0.0017492,0.0017492
21,3274.96,2.75827,2.33103,1.58977,0.20758,0.16132,0.09292,0.03139,2.71,2.38391,1.61782,0.001736,0.001736,0.001736
22,3412.86,2.77181,2.33133,1.59617,0.20295,0.16104,0.09207,0.03113,2.76645,2.38417,1.64662,0.0017228,0.0017228,0.0017228
23,3547.45,2.73258,2.31552,1.59606,0.21248,0.14184,0.08521,0.02957,2.76349,2.37353,1.61066,0.0017096,0.0017096,0.0017096
24,3660.15,2.71834,2.30992,1.58083,0.21777,0.16543,0.10002,0.03419,2.68524,2.34806,1.62392,0.0016964,0.0016964,0.0016964
25,3794.16,2.72475,2.32188,1.58621,0.20839,0.1561,0.08959,0.03007,2.69482,2.44263,1.64207,0.0016832,0.0016832,0.0016832
26,3936.43,2.73595,2.31678,1.57322,0.20838,0.15501,0.09463,0.03469,2.70455,2.36803,1.58869,0.00167,0.00167,0.00167
27,4091.84,2.70497,2.29987,1.58583,0.20989,0.14904,0.09059,0.03163,2.70119,2.3355,1.60325,0.0016568,0.0016568,0.0016568
28,4247.14,2.66756,2.25696,1.56378,0.23782,0.13937,0.0841,0.02871,2.76264,2.36151,1.55522,0.0016436,0.0016436,0.0016436
29,4387.21,2.67808,2.29133,1.55931,0.25504,0.14623,0.10163,0.03501,2.64817,2.3269,1.59854,0.0016304,0.0016304,0.0016304
30,4543.56,2.68778,2.28476,1.56567,0.23974,0.17037,0.11048,0.03984,2.62266,2.2743,1.597,0.0016172,0.0016172,0.0016172
31,4674.21,2.69347,2.2849,1.56978,0.18164,0.11606,0.06556,0.02241,2.88107,2.50221,1.57829,0.001604,0.001604,0.001604
32,4795.7,2.6888,2.2842,1.55326,0.24467,0.1583,0.11249,0.04094,2.65829,2.31663,1.57933,0.0015908,0.0015908,0.0015908
33,4915.31,2.662,2.25035,1.54329,0.25141,0.18162,0.1216,0.0444,2.63218,2.31721,1.59897,0.0015776,0.0015776,0.0015776
34,5019.29,2.66255,2.23966,1.54967,0.23029,0.17449,0.11064,0.04065,2.62144,2.26426,1.57581,0.0015644,0.0015644,0.0015644
35,5132.91,2.65198,2.24744,1.54863,0.2426,0.16503,0.1119,0.04225,2.61986,2.26948,1.56685,0.0015512,0.0015512,0.0015512
36,5251.43,2.66483,2.24002,1.5451,0.22088,0.17531,0.10365,0.03671,2.62756,2.30227,1.57066,0.001538,0.001538,0.001538
37,5359.16,2.65461,2.25379,1.54956,0.21973,0.15967,0.10124,0.03684,2.69827,2.38711,1.62466,0.0015248,0.0015248,0.0015248
38,5483.03,2.65705,2.25445,1.54313,0.25562,0.17339,0.12476,0.04795,2.59787,2.23523,1.52579,0.0015116,0.0015116,0.0015116
39,5598.92,2.62124,2.22879,1.54852,0.26352,0.16598,0.11678,0.04549,2.58891,2.28186,1.58062,0.0014984,0.0014984,0.0014984
40,5716.68,2.63598,2.26987,1.54065,0.23471,0.16735,0.11162,0.04237,2.56432,2.2483,1.54725,0.0014852,0.0014852,0.0014852
41,5849.98,2.61565,2.21424,1.52659,0.26758,0.18848,0.13168,0.04887,2.5515,2.20384,1.54055,0.001472,0.001472,0.001472
42,6047.98,2.62974,2.21399,1.53721,0.25485,0.17257,0.11897,0.04406,2.64573,2.24289,1.57418,0.0014588,0.0014588,0.0014588
43,6183.46,2.61023,2.21053,1.52816,0.28422,0.18378,0.13511,0.04895,2.53965,2.19869,1.53376,0.0014456,0.0014456,0.0014456
44,6299.62,2.59256,2.21546,1.52417,0.24092,0.16187,0.11122,0.03873,2.66109,2.27537,1.53097,0.0014324,0.0014324,0.0014324
45,6401.05,2.5885,2.18302,1.52663,0.24177,0.17668,0.11428,0.04398,2.54452,2.27429,1.5456,0.0014192,0.0014192,0.0014192
46,6518.07,2.61372,2.21286,1.52136,0.23971,0.169,0.11189,0.04086,2.64707,2.24425,1.54564,0.001406,0.001406,0.001406
47,6648.47,2.58764,2.18854,1.51359,0.26097,0.16982,0.11607,0.04511,2.56534,2.25196,1.52547,0.0013928,0.0013928,0.0013928
48,6781.65,2.58461,2.19401,1.52121,0.26391,0.17805,0.12407,0.04614,2.57473,2.21893,1.5246,0.0013796,0.0013796,0.0013796
49,6896.58,2.5631,2.18275,1.51533,0.26885,0.1808,0.13186,0.0484,2.55177,2.23025,1.51452,0.0013664,0.0013664,0.0013664
50,7008.54,2.59532,2.19723,1.52532,0.25649,0.16488,0.11369,0.04214,2.56619,2.2459,1.53782,0.0013532,0.0013532,0.0013532
51,7138.5,2.55514,2.18213,1.50794,0.2595,0.16379,0.12303,0.04684,2.61601,2.23944,1.50746,0.00134,0.00134,0.00134
52,7265.22,2.56408,2.18135,1.50061,0.2659,0.17613,0.12539,0.04757,2.54229,2.21047,1.52281,0.0013268,0.0013268,0.0013268
53,7378.34,2.53104,2.14828,1.49758,0.23961,0.15199,0.10987,0.04079,2.63441,2.26379,1.53726,0.0013136,0.0013136,0.0013136
54,7476.46,2.54685,2.15449,1.50452,0.2847,0.2,0.14748,0.05694,2.49574,2.18782,1.52541,0.0013004,0.0013004,0.0013004
55,7591.19,2.54474,2.16427,1.51217,0.28094,0.16461,0.13172,0.0507,2.56234,2.20084,1.51379,0.0012872,0.0012872,0.0012872
56,7699.96,2.52194,2.16512,1.49929,0.28317,0.19726,0.14927,0.05653,2.50499,2.23017,1.53953,0.001274,0.001274,0.001274
57,7833.45,2.55532,2.15723,1.4994,0.28739,0.17476,0.1383,0.05427,2.50961,2.16882,1.48672,0.0012608,0.0012608,0.0012608
58,7938.78,2.5104,2.1299,1.48475,0.28418,0.18381,0.1446,0.05614,2.491,2.17081,1.49251,0.0012476,0.0012476,0.0012476
59,8066.7,2.52715,2.14495,1.48778,0.27794,0.19122,0.14171,0.0532,2.52113,2.17405,1.5092,0.0012344,0.0012344,0.0012344
60,8174.61,2.54095,2.14066,1.49495,0.26493,0.18354,0.13706,0.05487,2.48159,2.18199,1.50964,0.0012212,0.0012212,0.0012212
61,8274.95,2.51751,2.13604,1.49537,0.28986,0.18793,0.14025,0.05436,2.49068,2.15702,1.50878,0.001208,0.001208,0.001208
62,8381.49,2.49895,2.13004,1.49502,0.3013,0.18546,0.14774,0.05909,2.48335,2.14637,1.51513,0.0011948,0.0011948,0.0011948
63,8520.03,2.51864,2.1193,1.48342,0.30532,0.20055,0.16063,0.0621,2.45528,2.09707,1.50046,0.0011816,0.0011816,0.0011816
64,8632.23,2.51183,2.11089,1.48252,0.29566,0.18219,0.14185,0.05659,2.49249,2.13521,1.50704,0.0011684,0.0011684,0.0011684
65,8747.28,2.52552,2.12311,1.48556,0.28895,0.19616,0.15399,0.06227,2.44776,2.11474,1.49331,0.0011552,0.0011552,0.0011552
66,8871.9,2.50671,2.13479,1.47099,0.27172,0.19095,0.13823,0.05521,2.50452,2.15165,1.49635,0.001142,0.001142,0.001142
67,8981.19,2.50671,2.10526,1.47832,0.28366,0.20384,0.1509,0.05817,2.48188,2.13466,1.47676,0.0011288,0.0011288,0.0011288
68,9085.09,2.50195,2.09588,1.4762,0.27269,0.18217,0.13748,0.05409,2.51334,2.15918,1.5028,0.0011156,0.0011156,0.0011156
69,9188.32,2.48236,2.08428,1.46475,0.29727,0.17915,0.14702,0.05779,2.5067,2.11987,1.50325,0.0011024,0.0011024,0.0011024
70,9300.75,2.50702,2.10609,1.47454,0.29885,0.19588,0.15023,0.05754,2.49307,2.13171,1.49338,0.0010892,0.0010892,0.0010892
71,9429.76,2.48018,2.11205,1.46102,0.29226,0.1904,0.14566,0.05847,2.4982,2.11293,1.48442,0.001076,0.001076,0.001076
72,9548.7,2.48288,2.09177,1.46935,0.2866,0.20357,0.14981,0.05804,2.4645,2.15657,1.50352,0.0010628,0.0010628,0.0010628
73,9647.87,2.47105,2.09035,1.46766,0.2897,0.18519,0.1421,0.05489,2.52026,2.13499,1.48857,0.0010496,0.0010496,0.0010496
74,9759.86,2.45217,2.0746,1.45543,0.29283,0.19451,0.14324,0.05694,2.50939,2.10138,1.48825,0.0010364,0.0010364,0.0010364
75,9895.04,2.46324,2.0713,1.45559,0.3143,0.19973,0.15878,0.06262,2.48586,2.09231,1.4682,0.0010232,0.0010232,0.0010232
76,9985.27,2.45858,2.06274,1.45249,0.2869,0.19973,0.15758,0.06396,2.48903,2.12022,1.46287,0.00101,0.00101,0.00101
77,10090.6,2.46274,2.06501,1.45758,0.31005,0.20329,0.16774,0.06796,2.44473,2.08275,1.47436,0.0009968,0.0009968,0.0009968
78,10190.5,2.44447,2.06465,1.45228,0.29503,0.19643,0.15337,0.06172,2.4496,2.1078,1.46501,0.0009836,0.0009836,0.0009836
79,10297.8,2.42522,2.05295,1.4433,0.31026,0.18519,0.15148,0.06287,2.44498,2.10884,1.45935,0.0009704,0.0009704,0.0009704
80,10395.8,2.43292,2.04055,1.45108,0.30803,0.2107,0.16677,0.06949,2.40605,2.06539,1.4675,0.0009572,0.0009572,0.0009572
81,10519.3,2.4317,2.04336,1.45081,0.31748,0.20796,0.16709,0.06861,2.41868,2.07689,1.46474,0.000944,0.000944,0.000944
82,10653.4,2.41978,2.03421,1.44078,0.30333,0.19901,0.15842,0.06328,2.45804,2.08462,1.45222,0.0009308,0.0009308,0.0009308
83,10789.4,2.45033,2.05357,1.45388,0.30819,0.20741,0.16338,0.06637,2.42359,2.08002,1.44633,0.0009176,0.0009176,0.0009176
84,10917,2.43169,2.03813,1.43834,0.3032,0.19643,0.15636,0.06458,2.44005,2.09438,1.47218,0.0009044,0.0009044,0.0009044
85,11033.4,2.41798,2.03162,1.44017,0.30059,0.2096,0.16788,0.06901,2.40287,2.0575,1.46318,0.0008912,0.0008912,0.0008912
86,11146.3,2.41472,2.02191,1.43305,0.31802,0.20631,0.17214,0.07152,2.39806,2.04391,1.46025,0.000878,0.000878,0.000878
87,11298.3,2.43094,2.05726,1.45172,0.31332,0.21317,0.17179,0.06935,2.42413,2.04532,1.45555,0.0008648,0.0008648,0.0008648
88,11426.6,2.39162,2.01523,1.43766,0.31796,0.21893,0.17037,0.0703,2.40445,2.03589,1.46501,0.0008516,0.0008516,0.0008516
89,11536.7,2.39596,2.01359,1.43114,0.31069,0.21289,0.16665,0.06766,2.418,2.05277,1.45792,0.0008384,0.0008384,0.0008384
90,11644.9,2.39904,2.02523,1.43916,0.32383,0.21207,0.17257,0.07016,2.40302,2.0394,1.45803,0.0008252,0.0008252,0.0008252
91,11769.8,2.38765,2.01229,1.42722,0.3123,0.21235,0.16896,0.06844,2.42037,2.04038,1.45904,0.000812,0.000812,0.000812
92,11874.8,2.38772,2.02045,1.43013,0.31203,0.20192,0.16252,0.06547,2.43703,2.05723,1.45348,0.0007988,0.0007988,0.0007988
93,11988.1,2.40853,2.00481,1.43159,0.30895,0.21268,0.17102,0.07111,2.4117,2.03639,1.4702,0.0007856,0.0007856,0.0007856
94,12105.2,2.39222,2.0168,1.43055,0.31625,0.20713,0.17192,0.07107,2.41061,2.02758,1.46102,0.0007724,0.0007724,0.0007724
95,12211.7,2.39604,2.00192,1.42264,0.30802,0.2085,0.16565,0.06632,2.4473,2.03703,1.46028,0.0007592,0.0007592,0.0007592
96,12320.3,2.37667,1.98321,1.4204,0.34642,0.21893,0.183,0.07638,2.36932,1.99789,1.44356,0.000746,0.000746,0.000746
97,12432.5,2.39302,1.99802,1.42853,0.34492,0.21015,0.18203,0.07564,2.39165,2.00463,1.44112,0.0007328,0.0007328,0.0007328
98,12544.4,2.37994,1.9996,1.42692,0.31136,0.20741,0.16207,0.06592,2.47173,2.06491,1.45952,0.0007196,0.0007196,0.0007196
99,12681.5,2.36686,1.96394,1.41517,0.33402,0.21235,0.18137,0.07573,2.38942,1.98401,1.43838,0.0007064,0.0007064,0.0007064
100,12821.1,2.38334,1.98187,1.42231,0.32256,0.21427,0.17237,0.07393,2.40594,2.0134,1.44418,0.0006932,0.0006932,0.0006932
101,12937,2.35847,1.96288,1.41237,0.31091,0.20686,0.17061,0.0727,2.41033,2.01868,1.44323,0.00068,0.00068,0.00068
102,13055.6,2.34394,1.97465,1.42009,0.33667,0.22963,0.19037,0.08045,2.3448,1.9809,1.44071,0.0006668,0.0006668,0.0006668
103,13176.2,2.37482,1.98754,1.4193,0.3289,0.23261,0.18564,0.07931,2.35636,1.97159,1.43486,0.0006536,0.0006536,0.0006536
104,13292.8,2.3573,1.97033,1.41662,0.33995,0.21152,0.18091,0.07561,2.37793,1.99373,1.44119,0.0006404,0.0006404,0.0006404
105,13405.9,2.33773,1.95006,1.4059,0.35173,0.22936,0.18879,0.07974,2.35595,1.98644,1.4374,0.0006272,0.0006272,0.0006272
106,13511.2,2.3366,1.9422,1.40183,0.32324,0.21317,0.17795,0.07288,2.40443,2.00215,1.4389,0.000614,0.000614,0.000614
107,13619.8,2.33107,1.94502,1.40199,0.33518,0.2214,0.18625,0.07652,2.36887,1.97754,1.42604,0.0006008,0.0006008,0.0006008
108,13723.9,2.31827,1.92828,1.39699,0.31519,0.21138,0.17147,0.0693,2.434,2.01498,1.44801,0.0005876,0.0005876,0.0005876
109,13838.3,2.34267,1.92893,1.40389,0.328,0.2214,0.18663,0.0785,2.39414,1.97992,1.42955,0.0005744,0.0005744,0.0005744
110,13970.1,2.34061,1.95113,1.40159,0.3286,0.21866,0.18023,0.07417,2.42578,2.00469,1.45682,0.0005612,0.0005612,0.0005612
111,14087,2.32895,1.931,1.40134,0.33901,0.21619,0.18895,0.07873,2.37839,1.96853,1.44156,0.000548,0.000548,0.000548
112,14191.8,2.31766,1.91706,1.39373,0.34759,0.2214,0.19049,0.07864,2.37309,1.9744,1.4224,0.0005348,0.0005348,0.0005348
113,14316.6,2.31408,1.90867,1.388,0.34008,0.2214,0.18861,0.08158,2.3456,1.95627,1.42488,0.0005216,0.0005216,0.0005216
114,14431.8,2.30185,1.89543,1.38652,0.35574,0.21344,0.18739,0.07675,2.39486,1.98158,1.42981,0.0005084,0.0005084,0.0005084
115,14542.3,2.31225,1.91172,1.38539,0.36484,0.22689,0.19395,0.08238,2.36821,1.95879,1.42946,0.0004952,0.0004952,0.0004952
116,14650.9,2.31512,1.89844,1.39377,0.34996,0.22579,0.19239,0.08142,2.37546,1.96925,1.42221,0.000482,0.000482,0.000482
117,14754.3,2.31141,1.92375,1.39201,0.35452,0.22112,0.19181,0.0813,2.34967,1.95881,1.42418,0.0004688,0.0004688,0.0004688
118,14860.7,2.28072,1.89058,1.38221,0.36163,0.23128,0.19832,0.08534,2.32497,1.95033,1.41029,0.0004556,0.0004556,0.0004556
119,15005.1,2.28279,1.90423,1.37627,0.35182,0.21728,0.18999,0.08182,2.35627,1.97144,1.43162,0.0004424,0.0004424,0.0004424
120,15163,2.27596,1.88217,1.38085,0.34717,0.23265,0.19809,0.08486,2.31954,1.9459,1.41833,0.0004292,0.0004292,0.0004292
121,15282.7,2.28688,1.89086,1.37416,0.34317,0.22826,0.19503,0.08405,2.35481,1.94866,1.42488,0.000416,0.000416,0.000416
122,15395.5,2.29309,1.89644,1.37922,0.34647,0.22908,0.19295,0.08184,2.3563,1.9618,1.4318,0.0004028,0.0004028,0.0004028
123,15519.3,2.26599,1.88916,1.37391,0.33859,0.23128,0.19082,0.07972,2.36015,1.96357,1.42551,0.0003896,0.0003896,0.0003896
124,15614.5,2.26306,1.86298,1.36695,0.3524,0.23215,0.19731,0.08421,2.33636,1.94104,1.41229,0.0003764,0.0003764,0.0003764
125,15722.9,2.28498,1.89016,1.37066,0.34408,0.22523,0.19513,0.08272,2.35274,1.94744,1.42216,0.0003632,0.0003632,0.0003632
126,15837,2.25923,1.8592,1.36601,0.35247,0.22936,0.19856,0.08464,2.3465,1.94351,1.42375,0.00035,0.00035,0.00035
