epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.944,3.26053,2.9499,1.99848,0.05396,0.05648,0.01304,0.00374,3.4671,3.37823,2.16725,0.000661836,0.000661836,0.000661836
2,733.981,3.17292,2.61194,1.84658,0.04508,0.02362,0.00753,0.0026,3.32498,3.92772,2.06168,0.00129562,0.00129562,0.00129562
3,982.676,3.11822,2.54195,1.81728,0.01854,0.01292,0.00367,0.00126,3.43247,3.52231,2.18881,0.00189641,0.00189641,0.00189641
4,1191.63,3.10829,2.54142,1.79742,0.06747,0.04836,0.01106,0.00256,3.45747,3.10618,1.89602,0.0018515,0.0018515,0.0018515
5,1387.83,3.01254,2.49076,1.75659,0.06818,0.05205,0.01451,0.00369,3.29598,3.39643,1.87534,0.001802,0.001802,0.001802
6,1602.11,2.99317,2.4786,1.74732,0.10848,0.06681,0.02934,0.00872,3.19431,3.45688,1.79513,0.0017525,0.0017525,0.0017525
7,1817.35,2.91415,2.43682,1.73014,0.11212,0.06165,0.02828,0.00822,3.13259,2.74639,1.83103,0.001703,0.001703,0.001703
8,1996.73,2.90944,2.43368,1.7041,0.10609,0.0742,0.0284,0.00968,3.13016,2.77257,1.78955,0.0016535,0.0016535,0.0016535
9,2188.28,2.87291,2.39647,1.67824,0.11511,0.0945,0.03545,0.01142,3.08022,2.93337,1.87103,0.001604,0.001604,0.001604
10,2452.27,2.85155,2.39006,1.64897,0.13868,0.10963,0.04829,0.01492,3.02004,2.8824,1.74736,0.0015545,0.0015545,0.0015545
11,2650.62,2.83816,2.37728,1.65309,0.12943,0.10151,0.04238,0.01204,3.01301,2.73037,1.70114,0.001505,0.001505,0.001505
12,2795.35,2.80408,2.3421,1.6437,0.12958,0.11,0.04439,0.01254,2.93327,2.78652,1.73133,0.0014555,0.0014555,0.0014555
13,2973.52,2.77666,2.34367,1.63467,0.12335,0.10321,0.04161,0.0132,2.94383,2.98424,1.76324,0.001406,0.001406,0.001406
14,3161.8,2.78649,2.33395,1.60985,0.12894,0.10041,0.04456,0.01326,2.91895,2.63405,1.71013,0.0013565,0.0013565,0.0013565
15,3418.99,2.77336,2.32221,1.62275,0.14278,0.09899,0.04758,0.01492,2.96211,2.70068,1.7891,0.001307,0.001307,0.001307
16,3629.12,2.72844,2.30099,1.6031,0.15775,0.1292,0.05226,0.01579,2.92345,2.66745,1.70435,0.0012575,0.0012575,0.0012575
17,3829.9,2.71006,2.2812,1.58835,0.14224,0.11074,0.05139,0.0178,2.96086,2.69126,1.65537,0.001208,0.001208,0.001208
18,4067.48,2.69434,2.27372,1.5864,0.14334,0.10668,0.04551,0.01453,2.90977,2.70443,1.71564,0.0011585,0.0011585,0.0011585
19,4263.94,2.67435,2.2583,1.58424,0.17031,0.11,0.05821,0.01674,2.91807,2.67064,1.65519,0.001109,0.001109,0.001109
20,4452.53,2.69638,2.2696,1.57792,0.17332,0.10927,0.0581,0.01988,2.9182,2.64127,1.68603,0.0010595,0.0010595,0.0010595
21,4589.24,2.6402,2.23888,1.55811,0.15388,0.10447,0.04911,0.0158,2.88892,2.68145,1.70093,0.00101,0.00101,0.00101
22,4756.64,2.6265,2.22838,1.56462,0.15333,0.0993,0.05121,0.01841,2.91074,2.63798,1.63732,0.0009605,0.0009605,0.0009605
