epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.356,3.26053,2.9499,1.99848,0.05453,0.06349,0.01443,0.0042,3.4671,3.37823,2.16725,0.000661836,0.000661836,0.000661836
2,640.185,3.17794,2.61248,1.84194,0.03358,0.0347,0.0092,0.00336,3.4019,3.82665,2.03988,0.00131973,0.00131973,0.00131973
3,783.146,3.11578,2.5511,1.82536,0.04428,0.04577,0.01042,0.00244,3.44068,3.1727,2.13896,0.00196883,0.00196883,0.00196883
4,915.631,3.09724,2.54803,1.80777,0.08836,0.03691,0.0184,0.00492,3.24738,2.92635,1.90663,0.0019604,0.0019604,0.0019604
5,1038.3,3.03052,2.50157,1.74804,0.07809,0.079,0.02415,0.00647,3.19998,3.02567,1.87552,0.0019472,0.0019472,0.0019472
6,1174.32,3.00363,2.48786,1.74203,0.10338,0.079,0.02692,0.00738,3.09867,2.95258,1.84931,0.001934,0.001934,0.001934
7,1332.78,2.92686,2.45307,1.73032,0.08516,0.055,0.01887,0.00517,3.29006,3.00696,1.85158,0.0019208,0.0019208,0.0019208
8,1468.3,2.92614,2.44704,1.71091,0.11439,0.04983,0.02375,0.00712,3.11173,2.77398,1.79187,0.0019076,0.0019076,0.0019076
9,1650.63,2.87598,2.40916,1.67846,0.12708,0.08564,0.03637,0.01229,3.06312,2.82768,1.79202,0.0018944,0.0018944,0.0018944
10,1803.49,2.87714,2.40798,1.67671,0.11302,0.09192,0.03433,0.00997,3.06211,2.93137,1.83131,0.0018812,0.0018812,0.0018812
11,1963.46,2.85546,2.39027,1.66394,0.12498,0.08084,0.04015,0.01386,3.06398,2.76362,1.75943,0.001868,0.001868,0.001868
12,2068.84,2.8284,2.37218,1.64939,0.14666,0.12145,0.04744,0.01453,3.01218,3.01732,1.66218,0.0018548,0.0018548,0.0018548
13,2170.14,2.80804,2.36999,1.65392,0.1345,0.11148,0.04806,0.0148,3.02269,3.10253,1.76592,0.0018416,0.0018416,0.0018416
14,2288,2.82612,2.36378,1.6236,0.16293,0.08786,0.04461,0.01479,3.01895,2.67047,1.71317,0.0018284,0.0018284,0.0018284
15,2421.3,2.8107,2.34533,1.62601,0.11138,0.07752,0.03654,0.01014,3.19542,2.86118,1.88735,0.0018152,0.0018152,0.0018152
16,2529.79,2.77416,2.33458,1.61439,0.12084,0.1148,0.03743,0.00986,3.02984,2.83126,1.82754,0.001802,0.001802,0.001802
17,2658.14,2.76468,2.32026,1.61725,0.1208,0.09782,0.04143,0.01305,3.0415,2.77059,1.71263,0.0017888,0.0017888,0.0017888
18,2763.03,2.74587,2.3057,1.61117,0.14721,0.10336,0.04781,0.01412,2.93962,2.69464,1.72756,0.0017756,0.0017756,0.0017756
19,2887.78,2.73257,2.29739,1.60263,0.12184,0.11111,0.04192,0.01345,3.00763,2.89877,1.66845,0.0017624,0.0017624,0.0017624
20,3013.38,2.74394,2.30763,1.5991,0.14907,0.1217,0.05734,0.01776,2.91984,2.70086,1.73132,0.0017492,0.0017492,0.0017492
21,3114.04,2.71839,2.27865,1.58655,0.14583,0.10262,0.05048,0.01527,3.01003,2.71159,1.67439,0.001736,0.001736,0.001736
22,3218.44,2.6909,2.2808,1.59664,0.1534,0.08453,0.04561,0.01332,3.06798,2.75719,1.73002,0.0017228,0.0017228,0.0017228
23,3368.86,2.69246,2.26279,1.57699,0.1716,0.12034,0.06231,0.02001,2.91965,2.66883,1.72345,0.0017096,0.0017096,0.0017096
24,3494.09,2.68874,2.27699,1.57512,0.15526,0.10779,0.0542,0.01747,2.97571,2.85197,1.71868,0.0016964,0.0016964,0.0016964
